year,wholesale_rate,retail_rate
1900,0.039000,0.039000
1901,0.038500,0.038500
1902,0.037100,0.037100
1903,0.036700,0.036700
1904,0.036500,0.036500
1905,0.036500,0.036500
1906,0.037000,0.037000
1907,0.038000,0.038000
1908,0.039500,0.039500
1909,0.039500,0.039500
1910,0.039500,0.039500
1911,0.039500,0.039500
1912,0.040000,0.040000
1913,0.041500,0.041500
1914,0.041500,0.041500
1915,0.042000,0.042000
1916,0.042000,0.042000
1917,0.042000,0.042000
1918,0.042000,0.042000
1919,0.042000,0.042000
1920,0.043000,0.043000
1921,0.045500,0.045500
1922,0.043500,0.043500
1923,0.039500,0.039500
1924,0.041000,0.041000
1925,0.043500,0.043500
1926,0.042000,0.042000
1927,0.042000,0.042000
1928,0.042000,0.042000
1929,0.042000,0.042000
1930,0.041000,0.041000
1931,0.035500,0.035500
1932,0.030200,0.030200
1933,0.029883,0.029900
1934,0.030392,0.030333
1935,0.030158,0.030217
1936,0.030033,0.030000
1937,0.029758,0.029900
1938,0.026458,0.026783
1939,0.024833,0.024800
1940,0.025925,0.025800
1941,0.026250,0.026375
1942,0.025033,0.025050
1943,0.024900,0.024917
1944,0.024783,0.024800
1945,0.024633,0.024617
1946,0.024192,0.024317
1947,0.023117,0.023133
1948,0.023283,0.023250
1949,0.023683,0.023700
1950,0.023133,0.023150
1951,0.023100,0.023100
1952,0.023117,0.023100
1953,0.023117,0.023133
1954,0.023100,0.023100
1955,0.023183,0.023167
1956,0.023300,0.023300
1957,0.024442,0.024008
1958,0.028483,0.028500
1959,0.027417,0.027517
1960,0.027100,0.027100
1961,0.027283,0.027250
1962,0.027517,0.027500
1963,0.027842,0.027733
1964,0.029708,0.029483
1965,0.031883,0.031817
1966,0.033225,0.033000
1967,0.035717,0.035650
1968,0.036042,0.036000
1969,0.062500,0.036850
1970,0.067500,0.039417
1971,0.011500,0.042333
1972,0.026900,0.041517
1973,0.036400,0.041500
1974,0.059700,0.045375
1975,0.027500,0.049583
1976,0.015100,0.041725
1977,0.024700,0.031433
1978,0.006600,0.026050
1979,0.010017,0.020975
1980,0.022908,0.024133
1981,0.029342,0.031900
1982,0.013225,0.039383
1983,0.018433,0.036358
1984,0.033407,0.035100
1985,0.021250,0.035100
1986,0.028750,0.035183
1987,0.005625,0.033150
1988,0.048750,0.031083
1989,0.096875,0.034525
1990,0.087500,0.045517
1991,0.075625,0.050450
1992,0.063750,0.050967
1993,0.041250,0.044175
1994,0.035000,0.033817
1995,0.017500,0.031367
1996,0.015000,0.023858
1997,0.010000,0.018250
1998,0.008750,0.014058
1999,0.010937,0.012367
2000,0.035000,0.014167
2001,0.016500,0.014958
2002,0.004400,0.011825
2003,0.000900,0.006300
2004,0.005500,0.005125
2005,0.006300,0.004842
2006,0.019400,0.004800
2007,0.020000,0.006333
2008,0.000100,0.008967
2009,0.000500,0.004550
2010,0.000400,0.003717
2011,0.000700,0.003300
2012,-0.000200,0.002542
2013,0.000100,0.001975
2014,-0.020000,0.001617
2015,-0.010000,0.000850
2016,-0.009000,0.000633
2017,-0.010000,0.000485
2018,-0.009500,0.000450
2019,-0.010000,0.000397
2020,-0.008500,0.000297
2021,-0.007500,0.000238
2022,-0.002400,0.000290
2023,0.015400,0.005139
2024,0.013500,0.006433
2025,0.001800,0.001540
