year,tr_usd,n_countries
1900,0.006917,15
1901,-0.028723,15
1902,0.063102,15
1903,0.080022,15
1904,0.065864,15
1905,0.080301,15
1906,0.169132,15
1907,-0.000863,15
1908,0.047949,15
1909,0.107424,15
1910,0.066297,15
1911,0.038668,15
1912,0.062035,15
1913,0.008999,15
1914,-0.036876,14
1915,0.048769,14
1916,0.088592,14
1917,0.158996,14
1918,0.086179,14
1919,-0.048494,14
1920,-0.346271,14
1921,-0.097540,15
1922,0.278207,15
1923,0.016593,15
1924,-0.038743,15
1925,0.183876,15
1926,0.154577,15
1927,0.372247,15
1928,0.215991,15
1929,-0.186178,15
1930,-0.227066,15
1931,-0.335731,15
1932,-0.086341,15
1933,0.442594,15
1934,0.138964,15
1935,0.251343,15
1936,0.129689,15
1937,-0.104784,15
1938,-0.036039,15
1939,0.104290,15
1940,0.516519,13
1941,0.432496,13
1942,0.216786,13
1943,-0.038114,13
1944,-0.050065,13
1945,0.042984,12
1946,-0.266939,13
1947,-0.103164,14
1948,-0.107943,15
1949,0.079021,15
1950,0.091672,15
1951,0.265035,15
1952,0.102247,15
1953,0.130427,15
1954,0.354395,15
1955,0.269909,15
1956,0.105290,15
1957,-0.104738,15
1958,0.046011,15
1959,0.025756,15
1960,-0.015618,15
1961,0.205146,15
1962,0.093862,15
1963,0.119483,15
1964,0.040320,15
1965,0.042126,15
1966,-0.024824,15
1967,0.060250,15
1968,0.206778,15
1969,0.323464,15
